Property_Type,Year,Average_Price
Condo,2004,695538.31
Duplex,2004,1496993.35
House,2004,2009027.34
Townhouse,2004,1289191.08
Triplex,2004,1671017.18
Condo,2005,728079.67
Duplex,2005,1633238.6
House,2005,2042947.13
Townhouse,2005,1423586.21
Triplex,2005,1774013.15
Condo,2006,837438.27
Duplex,2006,1598082.7
House,2006,2095363.77
Townhouse,2006,1260962.68
Triplex,2006,1750914.9
Condo,2007,879788.41
Duplex,2007,1840257.13
House,2007,2133283.62
Townhouse,2007,1476986.38
Triplex,2007,1661446.13
Condo,2008,872879.86
Duplex,2008,1818096.34
House,2008,2208696.68
Townhouse,2008,1352655.46
Triplex,2008,1926158.75
Condo,2009,979565.29
Duplex,2009,1965211.25
House,2009,2309628.47
Townhouse,2009,1558561.65
Triplex,2009,2321121.19
Condo,2010,917594.74
Duplex,2010,2139358.54
House,2010,2444590.59
Townhouse,2010,1651544.91
Triplex,2010,2005507.18
Condo,2011,1060991.29
Duplex,2011,2274877.95
House,2011,2760561.51
Townhouse,2011,1559403.27
Triplex,2011,2177049.81
Condo,2012,1050873.67
Duplex,2012,2087129.77
House,2012,3167167.65
Townhouse,2012,1704596.18
Triplex,2012,2251775.99
Condo,2013,1019104.48
Duplex,2013,2313045.37
House,2013,3366607.9
Townhouse,2013,1811822.35
Triplex,2013,2402091.44
Condo,2014,1191466.17
Duplex,2014,2529762.47
House,2014,2746579.43
Townhouse,2014,1864922.48
Triplex,2014,2437061.99
Condo,2015,1055195.32
Duplex,2015,2500389.06
House,2015,2870337.42
Townhouse,2015,1822492.52
Triplex,2015,2497843.36
Condo,2016,1186226.8
Duplex,2016,2564204.32
House,2016,3156359.39
Townhouse,2016,1839551.02
Triplex,2016,2581519.82
Condo,2017,1293982.48
Duplex,2017,2752590.44
House,2017,3805820.92
Townhouse,2017,1858772.7
Triplex,2017,3011677.15
Condo,2018,1248231.84
Duplex,2018,2857759.23
House,2018,3334384.69
Townhouse,2018,2086316.18
Triplex,2018,2841824.93
Condo,2019,1388091.39
Duplex,2019,2933761.67
House,2019,3680315.38
Townhouse,2019,2329047.49
Triplex,2019,3065258.75
Condo,2020,1534123.85
Duplex,2020,3451681.85
House,2020,4150145.05
Townhouse,2020,2279903.46
Triplex,2020,3410930.22
Condo,2021,1844201.79
Duplex,2021,3526318.65
House,2021,4976309.36
Townhouse,2021,3141418.8
Triplex,2021,3671186.16
Condo,2022,1520226.56
Duplex,2022,3410345.32
House,2022,4558075.42
Townhouse,2022,2931826.11
Triplex,2022,3880376.67
Condo,2023,1646318.44
Duplex,2023,3526693.98
House,2023,4373477.14
Townhouse,2023,2283075.04
Triplex,2023,3597435.22
